Indicator Name,Cancer Type,Year,Country Name,Region,Gender,Area,Numeric,Lower Confidence Limit,Upper Confidence Limit,Comment,Unnamed: 11
CRD age-standardized death rate,,2019,Antigua and Barbuda,Region of the Americas,Males,,31.30155,no data,no data,,
CRD age-standardized death rate,,2019,Antigua and Barbuda,Region of the Americas,Females,,19.0,no data,no data,,
CRD age-standardized death rate,,2019,Argentina,Region of the Americas,Total,,55.53276,no data,no data,,
CRD age-standardized death rate,,2019,Argentina,Region of the Americas,Males,,72.1933,no data,no data,,
CRD age-standardized death rate,,2019,Argentina,Region of the Americas,Females,,44.5,no data,no data,,
CRD age-standardized death rate,,2019,Armenia,European Region,Total,,21.10862,no data,no data,,
CRD age-standardized death rate,,2019,Armenia,European Region,Males,,31.27744,no data,no data,,
CRD age-standardized death rate,,2019,Armenia,European Region,Females,,14.3,no data,no data,,
CRD age-standardized death rate,,2019,Australia,Western Pacific Region,Total,,22.55564,no data,no data,,
CRD age-standardized death rate,,2019,Australia,Western Pacific Region,Males,,26.57658,no data,no data,,
CRD age-standardized death rate,,2019,Australia,Western Pacific Region,Females,,19.3,no data,no data,,
CRD age-standardized death rate,,2019,Austria,European Region,Total,,19.83775,no data,no data,,
CRD age-standardized death rate,,2019,Austria,European Region,Males,,25.30535,no data,no data,,
CRD age-standardized death rate,,2019,Austria,European Region,Females,,15.9,no data,no data,,
CRD age-standardized death rate,,2019,Azerbaijan,European Region,Total,,28.05242,no data,no data,,
CRD age-standardized death rate,,2019,Azerbaijan,European Region,Males,,37.0733,no data,no data,,
CRD age-standardized death rate,,2019,Azerbaijan,European Region,Females,,21.4,no data,no data,,
CRD age-standardized death rate,,2019,Bahamas,Region of the Americas,Total,,14.20645,no data,no data,,
CRD age-standardized death rate,,2019,Bahamas,Region of the Americas,Males,,20.41025,no data,no data,,
CRD age-standardized death rate,,2019,Bahamas,Region of the Americas,Females,,9.5,no data,no data,,
CRD age-standardized death rate,,2019,Bahrain,Eastern Mediterranean Region,Total,,37.05366,no data,no data,,
CRD age-standardized death rate,,2019,Bahrain,Eastern Mediterranean Region,Males,,41.6807,no data,no data,,
CRD age-standardized death rate,,2019,Bahrain,Eastern Mediterranean Region,Females,,32.5,no data,no data,,
CRD age-standardized death rate,,2019,Bangladesh,South-East Asian Region,Total,,52.56334,no data,no data,,
CRD age-standardized death rate,,2019,Bangladesh,South-East Asian Region,Males,,62.90314,no data,no data,,
CRD age-standardized death rate,,2019,Bangladesh,South-East Asian Region,Females,,42.6,no data,no data,,
CRD age-standardized death rate,,2019,Barbados,Region of the Americas,Total,,18.91689,no data,no data,,
CRD age-standardized death rate,,2019,Barbados,Region of the Americas,Males,,26.03266,no data,no data,,
CRD age-standardized death rate,,2019,Barbados,Region of the Americas,Females,,13.2,no data,no data,,
CRD age-standardized death rate,,2019,Belarus,European Region,Total,,13.17449,no data,no data,,
CRD age-standardized death rate,,2019,Belarus,European Region,Males,,26.07771,no data,no data,,
CRD age-standardized death rate,,2019,Belarus,European Region,Females,,6.5,no data,no data,,
CRD age-standardized death rate,,2019,Belgium,European Region,Total,,27.39763,no data,no data,,
CRD age-standardized death rate,,2019,Belgium,European Region,Males,,37.25602,no data,no data,,
CRD age-standardized death rate,,2019,Belgium,European Region,Females,,20.3,no data,no data,,
CRD age-standardized death rate,,2019,Belize,Region of the Americas,Total,,25.44246,no data,no data,,
CRD age-standardized death rate,,2019,Belize,Region of the Americas,Males,,36.13518,no data,no data,,
CRD age-standardized death rate,,2019,Belize,Region of the Americas,Females,,14.6,no data,no data,,
CRD age-standardized death rate,,2019,Benin,African Region,Total,,43.22064,no data,no data,,
CRD age-standardized death rate,,2019,Benin,African Region,Males,,53.84001,no data,no data,,
CRD age-standardized death rate,,2019,Benin,African Region,Females,,35.4,no data,no data,,
CRD age-standardized death rate,,2019,Bhutan,South-East Asian Region,Total,,105.4701,no data,no data,,
CRD age-standardized death rate,,2019,Bhutan,South-East Asian Region,Males,,98.9167,no data,no data,,
CRD age-standardized death rate,,2019,Bhutan,South-East Asian Region,Females,,113.0,no data,no data,,
CRD age-standardized death rate,,2019,Bolivia (Plurinational State of),Region of the Americas,Total,,46.92316,no data,no data,,
CRD age-standardized death rate,,2019,Bolivia (Plurinational State of),Region of the Americas,Males,,51.26684,no data,no data,,
CRD age-standardized death rate,,2019,Bolivia (Plurinational State of),Region of the Americas,Females,,43.4,no data,no data,,
CRD age-standardized death rate,,2019,Bosnia and Herzegovina,European Region,Total,,18.72149,no data,no data,,
CRD age-standardized death rate,,2019,Bosnia and Herzegovina,European Region,Males,,28.29675,no data,no data,,
CRD age-standardized death rate,,2019,Bosnia and Herzegovina,European Region,Females,,12.0,no data,no data,,
CRD age-standardized death rate,,2019,Botswana,African Region,Total,,61.09644,no data,no data,,
CRD age-standardized death rate,,2019,Botswana,African Region,Males,,91.43796,no data,no data,,
CRD age-standardized death rate,,2019,Botswana,African Region,Females,,41.7,no data,no data,,
CRD age-standardized death rate,,2019,Brazil,Region of the Americas,Total,,37.01625,no data,no data,,
CRD age-standardized death rate,,2019,Brazil,Region of the Americas,Males,,47.38801,no data,no data,,
CRD age-standardized death rate,,2019,Brazil,Region of the Americas,Females,,29.7,no data,no data,,
CRD age-standardized death rate,,2019,Brunei Darussalam,Western Pacific Region,Total,,45.96484,no data,no data,,
CRD age-standardized death rate,,2019,Brunei Darussalam,Western Pacific Region,Males,,47.23596,no data,no data,,
CRD age-standardized death rate,,2019,Brunei Darussalam,Western Pacific Region,Females,,44.9,no data,no data,,
CRD age-standardized death rate,,2019,Bulgaria,European Region,Total,,37.7061,no data,no data,,
CRD age-standardized death rate,,2019,Bulgaria,European Region,Males,,56.43223,no data,no data,,
CRD age-standardized death rate,,2019,Bulgaria,European Region,Females,,24.3,no data,no data,,
CRD age-standardized death rate,,2019,Burkina Faso,African Region,Total,,31.93359,no data,no data,,
CRD age-standardized death rate,,2019,Burkina Faso,African Region,Males,,39.82075,no data,no data,,
CRD age-standardized death rate,,2019,Burkina Faso,African Region,Females,,26.9,no data,no data,,
CRD age-standardized death rate,,2019,Burundi,African Region,Total,,57.854,no data,no data,,
CRD age-standardized death rate,,2019,Burundi,African Region,Males,,74.15512,no data,no data,,
CRD age-standardized death rate,,2019,Burundi,African Region,Females,,45.9,no data,no data,,
CRD age-standardized death rate,,2019,Cabo Verde,African Region,Total,,22.77197,no data,no data,,
CRD age-standardized death rate,,2019,Cabo Verde,African Region,Males,,31.22596,no data,no data,,
CRD age-standardized death rate,,2019,Cabo Verde,African Region,Females,,17.6,no data,no data,,
CRD age-standardized death rate,,2019,Cambodia,Western Pacific Region,Total,,49.3578,no data,no data,,
CRD age-standardized death rate,,2019,Cambodia,Western Pacific Region,Males,,76.4589,no data,no data,,
CRD age-standardized death rate,,2019,Cambodia,Western Pacific Region,Females,,31.7,no data,no data,,
CRD age-standardized death rate,,2019,Cameroon,African Region,Total,,43.59617,no data,no data,,
CRD age-standardized death rate,,2019,Cameroon,African Region,Males,,54.38449,no data,no data,,
CRD age-standardized death rate,,2019,Cameroon,African Region,Females,,35.1,no data,no data,,
CRD age-standardized death rate,,2019,Canada,Region of the Americas,Total,,22.44881,no data,no data,,
CRD age-standardized death rate,,2019,Canada,Region of the Americas,Males,,26.51043,no data,no data,,
CRD age-standardized death rate,,2019,Canada,Region of the Americas,Females,,19.3,no data,no data,,
CRD age-standardized death rate,,2019,Central African Republic,African Region,Total,,98.77457,no data,no data,,
CRD age-standardized death rate,,2019,Central African Republic,African Region,Males,,112.9631,no data,no data,,
CRD age-standardized death rate,,2019,Central African Republic,African Region,Females,,88.2,no data,no data,,
CRD age-standardized death rate,,2019,Chad,African Region,Total,,51.67992,no data,no data,,
CRD age-standardized death rate,,2019,Chad,African Region,Males,,61.9394,no data,no data,,
CRD age-standardized death rate,,2019,Chad,African Region,Females,,43.2,no data,no data,,
CRD age-standardized death rate,,2019,Chile,Region of the Americas,Total,,27.40626,no data,no data,,
CRD age-standardized death rate,,2019,Chile,Region of the Americas,Males,,34.40166,no data,no data,,
CRD age-standardized death rate,,2019,Chile,Region of the Americas,Females,,22.4,no data,no data,,
CRD age-standardized death rate,,2019,China,Western Pacific Region,Total,,56.63836,no data,no data,,
CRD age-standardized death rate,,2019,China,Western Pacific Region,Males,,77.71625,no data,no data,,
CRD age-standardized death rate,,2019,China,Western Pacific Region,Females,,41.0,no data,no data,,
CRD age-standardized death rate,,2019,Colombia,Region of the Americas,Total,,34.98908,no data,no data,,
CRD age-standardized death rate,,2019,Colombia,Region of the Americas,Males,,40.89929,no data,no data,,
CRD age-standardized death rate,,2019,Colombia,Region of the Americas,Females,,30.4,no data,no data,,
CRD age-standardized death rate,,2019,Comoros,African Region,Total,,39.08292,no data,no data,,
CRD age-standardized death rate,,2019,Comoros,African Region,Males,,50.8603,no data,no data,,
CRD age-standardized death rate,,2019,Comoros,African Region,Females,,30.0,no data,no data,,
CRD age-standardized death rate,,2019,Congo,African Region,Total,,47.32823,no data,no data,,
CRD age-standardized death rate,,2019,Congo,African Region,Males,,49.91422,no data,no data,,
CRD age-standardized death rate,,2019,Congo,African Region,Females,,45.4,no data,no data,,
CRD age-standardized death rate,,2019,Costa Rica,Region of the Americas,Total,,21.41992,no data,no data,,
CRD age-standardized death rate,,2019,Costa Rica,Region of the Americas,Males,,25.79416,no data,no data,,
CRD age-standardized death rate,,2019,Costa Rica,Region of the Americas,Females,,17.9,no data,no data,,
CRD age-standardized death rate,,2019,Côte d'Ivoire,African Region,Total,,42.80772,no data,no data,,
CRD age-standardized death rate,,2019,Côte d'Ivoire,African Region,Males,,55.59962,no data,no data,,
CRD age-standardized death rate,,2019,Côte d'Ivoire,African Region,Females,,29.5,no data,no data,,
CRD age-standardized death rate,,2019,Croatia,European Region,Total,,19.24601,no data,no data,,
CRD age-standardized death rate,,2019,Croatia,European Region,Males,,31.10685,no data,no data,,
CRD age-standardized death rate,,2019,Croatia,European Region,Females,,12.2,no data,no data,,
CRD age-standardized death rate,,2019,Cuba,Region of the Americas,Total,,28.22668,no data,no data,,
CRD age-standardized death rate,,2019,Cuba,Region of the Americas,Males,,33.6738,no data,no data,,
CRD age-standardized death rate,,2019,Cuba,Region of the Americas,Females,,23.9,no data,no data,,
CRD age-standardized death rate,,2019,Cyprus,European Region,Total,,27.40224,no data,no data,,
CRD age-standardized death rate,,2019,Cyprus,European Region,Males,,37.40474,no data,no data,,
CRD age-standardized death rate,,2019,Cyprus,European Region,Females,,20.1,no data,no data,,
CRD age-standardized death rate,,2019,Czechia,European Region,Total,,20.56908,no data,no data,,
CRD age-standardized death rate,,2019,Czechia,European Region,Males,,29.67273,no data,no data,,
CRD age-standardized death rate,,2019,Czechia,European Region,Females,,13.9,no data,no data,,
CRD age-standardized death rate,,2019,Democratic People's Republic of Korea,South-East Asian Region,Total,,94.15351,no data,no data,,
CRD age-standardized death rate,,2019,Democratic People's Republic of Korea,South-East Asian Region,Males,,135.7367,no data,no data,,
CRD age-standardized death rate,,2019,Democratic People's Republic of Korea,South-East Asian Region,Females,,73.3,no data,no data,,
CRD age-standardized death rate,,2019,Democratic Republic of the Congo,African Region,Total,,67.69981,no data,no data,,
CRD age-standardized death rate,,2019,Democratic Republic of the Congo,African Region,Males,,69.61265,no data,no data,,
CRD age-standardized death rate,,2019,Democratic Republic of the Congo,African Region,Females,,65.8,no data,no data,,
CRD age-standardized death rate,,2019,Denmark,European Region,Total,,35.02625,no data,no data,,
CRD age-standardized death rate,,2019,Denmark,European Region,Males,,39.3965,no data,no data,,
CRD age-standardized death rate,,2019,Denmark,European Region,Females,,31.9,no data,no data,,
CRD age-standardized death rate,,2019,Djibouti,Eastern Mediterranean Region,Total,,34.01575,no data,no data,,
CRD age-standardized death rate,,2019,Djibouti,Eastern Mediterranean Region,Males,,42.65368,no data,no data,,
CRD age-standardized death rate,,2019,Djibouti,Eastern Mediterranean Region,Females,,26.4,no data,no data,,
CRD age-standardized death rate,,2019,Dominican Republic,Region of the Americas,Total,,18.10691,no data,no data,,
CRD age-standardized death rate,,2019,Dominican Republic,Region of the Americas,Males,,21.47712,no data,no data,,
CRD age-standardized death rate,,2019,Dominican Republic,Region of the Americas,Females,,15.1,no data,no data,,
CRD age-standardized death rate,,2019,Ecuador,Region of the Americas,Total,,19.97164,no data,no data,,
CRD age-standardized death rate,,2019,Ecuador,Region of the Americas,Males,,25.63594,no data,no data,,
CRD age-standardized death rate,,2019,Ecuador,Region of the Americas,Females,,15.5,no data,no data,,
CRD age-standardized death rate,,2019,Egypt,Eastern Mediterranean Region,Total,,32.56195,no data,no data,,
CRD age-standardized death rate,,2019,Egypt,Eastern Mediterranean Region,Males,,42.60755,no data,no data,,
CRD age-standardized death rate,,2019,Egypt,Eastern Mediterranean Region,Females,,24.3,no data,no data,,
CRD age-standardized death rate,,2019,El Salvador,Region of the Americas,Total,,36.58169,no data,no data,,
CRD age-standardized death rate,,2019,El Salvador,Region of the Americas,Males,,45.48807,no data,no data,,
CRD age-standardized death rate,,2019,El Salvador,Region of the Americas,Females,,30.3,no data,no data,,
CRD age-standardized death rate,,2019,Equatorial Guinea,African Region,Total,,46.24044,no data,no data,,
CRD age-standardized death rate,,2019,Equatorial Guinea,African Region,Males,,49.85758,no data,no data,,
CRD age-standardized death rate,,2019,Equatorial Guinea,African Region,Females,,44.0,no data,no data,,
CRD age-standardized death rate,,2019,Eritrea,African Region,Total,,54.98586,no data,no data,,
CRD age-standardized death rate,,2019,Eritrea,African Region,Males,,70.6274,no data,no data,,
CRD age-standardized death rate,,2019,Eritrea,African Region,Females,,42.6,no data,no data,,
CRD age-standardized death rate,,2019,Estonia,European Region,Total,,9.40868,no data,no data,,
CRD age-standardized death rate,,2019,Estonia,European Region,Males,,19.09313,no data,no data,,
CRD age-standardized death rate,,2019,Estonia,European Region,Females,,4.0,no data,no data,,
CRD age-standardized death rate,,2019,Eswatini,African Region,Total,,76.51088,no data,no data,,
CRD age-standardized death rate,,2019,Eswatini,African Region,Males,,132.3449,no data,no data,,
CRD age-standardized death rate,,2019,Eswatini,African Region,Females,,40.6,no data,no data,,
CRD age-standardized death rate,,2019,Ethiopia,African Region,Total,,35.25739,no data,no data,,
CRD age-standardized death rate,,2019,Ethiopia,African Region,Males,,44.87289,no data,no data,,
CRD age-standardized death rate,,2019,Ethiopia,African Region,Females,,27.2,no data,no data,,
CRD age-standardized death rate,,2019,Fiji,Western Pacific Region,Total,,65.6089,no data,no data,,
CRD age-standardized death rate,,2019,Fiji,Western Pacific Region,Males,,93.39273,no data,no data,,
CRD age-standardized death rate,,2019,Fiji,Western Pacific Region,Females,,43.7,no data,no data,,
CRD age-standardized death rate,,2019,Finland,European Region,Total,,11.93774,no data,no data,,
CRD age-standardized death rate,,2019,Finland,European Region,Males,,17.83214,no data,no data,,
CRD age-standardized death rate,,2019,Finland,European Region,Females,,7.7,no data,no data,,
CRD age-standardized death rate,,2019,France,European Region,Total,,16.87111,no data,no data,,
CRD age-standardized death rate,,2019,France,European Region,Males,,23.11157,no data,no data,,
CRD age-standardized death rate,,2019,France,European Region,Females,,12.3,no data,no data,,
CRD age-standardized death rate,,2019,Gabon,African Region,Total,,34.08856,no data,no data,,
CRD age-standardized death rate,,2019,Gabon,African Region,Males,,43.08135,no data,no data,,
CRD age-standardized death rate,,2019,Gabon,African Region,Females,,26.9,no data,no data,,
CRD age-standardized death rate,,2019,Gambia,African Region,Total,,47.04687,no data,no data,,
CRD age-standardized death rate,,2019,Gambia,African Region,Males,,54.97852,no data,no data,,
CRD age-standardized death rate,,2019,Gambia,African Region,Females,,39.8,no data,no data,,
CRD age-standardized death rate,,2019,Georgia,European Region,Total,,19.7884,no data,no data,,
CRD age-standardized death rate,,2019,Georgia,European Region,Males,,31.53985,no data,no data,,
CRD age-standardized death rate,,2019,Georgia,European Region,Females,,12.2,no data,no data,,
CRD age-standardized death rate,,2019,Germany,European Region,Total,,22.65528,no data,no data,,
CRD age-standardized death rate,,2019,Germany,European Region,Males,,30.73164,no data,no data,,
CRD age-standardized death rate,,2019,Germany,European Region,Females,,16.8,no data,no data,,
CRD age-standardized death rate,,2019,Ghana,African Region,Total,,43.12249,no data,no data,,
CRD age-standardized death rate,,2019,Ghana,African Region,Males,,69.98865,no data,no data,,
CRD age-standardized death rate,,2019,Ghana,African Region,Females,,20.3,no data,no data,,
CRD age-standardized death rate,,2019,Greece,European Region,Total,,23.5135,no data,no data,,
CRD age-standardized death rate,,2019,Greece,European Region,Males,,29.21186,no data,no data,,
CRD age-standardized death rate,,2019,Greece,European Region,Females,,18.9,no data,no data,,
CRD age-standardized death rate,,2019,Grenada,Region of the Americas,Total,,19.53792,no data,no data,,
CRD age-standardized death rate,,2019,Grenada,Region of the Americas,Males,,25.2168,no data,no data,,
CRD age-standardized death rate,,2019,Grenada,Region of the Americas,Females,,14.4,no data,no data,,
CRD age-standardized death rate,,2019,Guatemala,Region of the Americas,Total,,22.20905,no data,no data,,
CRD age-standardized death rate,,2019,Guatemala,Region of the Americas,Males,,25.01977,no data,no data,,
CRD age-standardized death rate,,2019,Guatemala,Region of the Americas,Females,,20.0,no data,no data,,
CRD age-standardized death rate,,2019,Guinea,African Region,Total,,53.88894,no data,no data,,
CRD age-standardized death rate,,2019,Guinea,African Region,Males,,65.00828,no data,no data,,
CRD age-standardized death rate,,2019,Guinea,African Region,Females,,46.9,no data,no data,,
CRD age-standardized death rate,,2019,Guinea-Bissau,African Region,Total,,50.1477,no data,no data,,
CRD age-standardized death rate,,2019,Guinea-Bissau,African Region,Males,,67.63422,no data,no data,,
CRD age-standardized death rate,,2019,Guinea-Bissau,African Region,Females,,38.9,no data,no data,,
CRD age-standardized death rate,,2019,Guyana,Region of the Americas,Total,,39.53563,no data,no data,,
CRD age-standardized death rate,,2019,Guyana,Region of the Americas,Males,,54.13273,no data,no data,,
CRD age-standardized death rate,,2019,Guyana,Region of the Americas,Females,,26.6,no data,no data,,
CRD age-standardized death rate,,2019,Haiti,Region of the Americas,Total,,50.011,no data,no data,,
CRD age-standardized death rate,,2019,Haiti,Region of the Americas,Males,,61.58491,no data,no data,,
CRD age-standardized death rate,,2019,Haiti,Region of the Americas,Females,,41.3,no data,no data,,
CRD age-standardized death rate,,2019,Honduras,Region of the Americas,Total,,58.71926,no data,no data,,
CRD age-standardized death rate,,2019,Honduras,Region of the Americas,Males,,60.57691,no data,no data,,
CRD age-standardized death rate,,2019,Honduras,Region of the Americas,Females,,57.5,no data,no data,,
CRD age-standardized death rate,,2019,Hungary,European Region,Total,,33.29542,no data,no data,,
CRD age-standardized death rate,,2019,Hungary,European Region,Males,,47.07922,no data,no data,,
CRD age-standardized death rate,,2019,Hungary,European Region,Females,,24.5,no data,no data,,
CRD age-standardized death rate,,2019,Iceland,European Region,Total,,20.90282,no data,no data,,
CRD age-standardized death rate,,2019,Iceland,European Region,Males,,19.9243,no data,no data,,
CRD age-standardized death rate,,2019,Iceland,European Region,Females,,21.9,no data,no data,,
CRD age-standardized death rate,,2019,India,South-East Asian Region,Total,,112.9732,no data,no data,,
CRD age-standardized death rate,,2019,India,South-East Asian Region,Males,,126.3859,no data,no data,,
CRD age-standardized death rate,,2019,India,South-East Asian Region,Females,,100.5,no data,no data,,
CRD age-standardized death rate,,2019,Indonesia,South-East Asian Region,Total,,55.2191,no data,no data,,
CRD age-standardized death rate,,2019,Indonesia,South-East Asian Region,Males,,81.29215,no data,no data,,
CRD age-standardized death rate,,2019,Indonesia,South-East Asian Region,Females,,35.6,no data,no data,,
CRD age-standardized death rate,,2019,Iran (Islamic Republic of),Eastern Mediterranean Region,Total,,23.75326,no data,no data,,
CRD age-standardized death rate,,2019,Iran (Islamic Republic of),Eastern Mediterranean Region,Males,,27.94429,no data,no data,,
CRD age-standardized death rate,,2019,Iran (Islamic Republic of),Eastern Mediterranean Region,Females,,19.2,no data,no data,,
CRD age-standardized death rate,,2019,Iraq,Eastern Mediterranean Region,Total,,15.31952,no data,no data,,
CRD age-standardized death rate,,2019,Iraq,Eastern Mediterranean Region,Males,,20.48869,no data,no data,,
CRD age-standardized death rate,,2019,Iraq,Eastern Mediterranean Region,Females,,11.4,no data,no data,,
CRD age-standardized death rate,,2019,Ireland,European Region,Total,,31.99143,no data,no data,,
CRD age-standardized death rate,,2019,Ireland,European Region,Males,,40.26644,no data,no data,,
CRD age-standardized death rate,,2019,Ireland,European Region,Females,,25.8,no data,no data,,
CRD age-standardized death rate,,2019,Israel,European Region,Total,,20.95617,no data,no data,,
CRD age-standardized death rate,,2019,Israel,European Region,Males,,26.87491,no data,no data,,
CRD age-standardized death rate,,2019,Israel,European Region,Females,,16.2,no data,no data,,
CRD age-standardized death rate,,2019,Italy,European Region,Total,,19.34315,no data,no data,,
CRD age-standardized death rate,,2019,Italy,European Region,Males,,27.04272,no data,no data,,
CRD age-standardized death rate,,2019,Italy,European Region,Females,,14.1,no data,no data,,
CRD age-standardized death rate,,2019,Jamaica,Region of the Americas,Total,,16.2477,no data,no data,,
CRD age-standardized death rate,,2019,Jamaica,Region of the Americas,Males,,25.26994,no data,no data,,
CRD age-standardized death rate,,2019,Jamaica,Region of the Americas,Females,,7.9,no data,no data,,
CRD age-standardized death rate,,2019,Japan,Western Pacific Region,Total,,21.06934,no data,no data,,
CRD age-standardized death rate,,2019,Japan,Western Pacific Region,Males,,33.34919,no data,no data,,
CRD age-standardized death rate,,2019,Japan,Western Pacific Region,Females,,12.8,no data,no data,,
CRD age-standardized death rate,,2019,Jordan,Eastern Mediterranean Region,Total,,14.05325,no data,no data,,
CRD age-standardized death rate,,2019,Jordan,Eastern Mediterranean Region,Males,,17.87355,no data,no data,,
CRD age-standardized death rate,,2019,Jordan,Eastern Mediterranean Region,Females,,10.7,no data,no data,,
CRD age-standardized death rate,,2019,Kazakhstan,European Region,Total,,51.03748,no data,no data,,
CRD age-standardized death rate,,2019,Kazakhstan,European Region,Males,,83.85097,no data,no data,,
CRD age-standardized death rate,,2019,Kazakhstan,European Region,Females,,32.5,no data,no data,,
CRD age-standardized death rate,,2019,Kenya,African Region,Total,,38.71528,no data,no data,,
CRD age-standardized death rate,,2019,Kenya,African Region,Males,,49.1958,no data,no data,,
CRD age-standardized death rate,,2019,Kenya,African Region,Females,,31.9,no data,no data,,
CRD age-standardized death rate,,2019,Kiribati,Western Pacific Region,Total,,133.5048,no data,no data,,
CRD age-standardized death rate,,2019,Kiribati,Western Pacific Region,Males,,166.1272,no data,no data,,
CRD age-standardized death rate,,2019,Kiribati,Western Pacific Region,Females,,114.2,no data,no data,,
CRD age-standardized death rate,,2019,Kuwait,Eastern Mediterranean Region,Total,,9.53498,no data,no data,,
CRD age-standardized death rate,,2019,Kuwait,Eastern Mediterranean Region,Males,,12.216,no data,no data,,
CRD age-standardized death rate,,2019,Kuwait,Eastern Mediterranean Region,Females,,5.8,no data,no data,,
CRD age-standardized death rate,,2019,Kyrgyzstan,European Region,Total,,31.78998,no data,no data,,
CRD age-standardized death rate,,2019,Kyrgyzstan,European Region,Males,,47.70334,no data,no data,,
CRD age-standardized death rate,,2019,Kyrgyzstan,European Region,Females,,22.9,no data,no data,,
CRD age-standardized death rate,,2019,Lao People's Democratic Republic,Western Pacific Region,Total,,67.2097,no data,no data,,
CRD age-standardized death rate,,2019,Lao People's Democratic Republic,Western Pacific Region,Males,,94.67977,no data,no data,,
CRD age-standardized death rate,,2019,Lao People's Democratic Republic,Western Pacific Region,Females,,46.4,no data,no data,,
CRD age-standardized death rate,,2019,Latvia,European Region,Total,,9.95294,no data,no data,,
CRD age-standardized death rate,,2019,Latvia,European Region,Males,,20.16218,no data,no data,,
CRD age-standardized death rate,,2019,Latvia,European Region,Females,,4.3,no data,no data,,
CRD age-standardized death rate,,2019,Lebanon,Eastern Mediterranean Region,Total,,19.93482,no data,no data,,
CRD age-standardized death rate,,2019,Lebanon,Eastern Mediterranean Region,Males,,26.83684,no data,no data,,
CRD age-standardized death rate,,2019,Lebanon,Eastern Mediterranean Region,Females,,14.0,no data,no data,,
CRD age-standardized death rate,,2019,Lesotho,African Region,Total,,134.9574,no data,no data,,
CRD age-standardized death rate,,2019,Lesotho,African Region,Males,,184.7018,no data,no data,,
CRD age-standardized death rate,,2019,Lesotho,African Region,Females,,106.6,no data,no data,,
CRD age-standardized death rate,,2019,Liberia,African Region,Total,,25.3195,no data,no data,,
CRD age-standardized death rate,,2019,Liberia,African Region,Males,,23.23241,no data,no data,,
CRD age-standardized death rate,,2019,Liberia,African Region,Females,,27.1,no data,no data,,
CRD age-standardized death rate,,2019,Libya,Eastern Mediterranean Region,Total,,23.78041,no data,no data,,
CRD age-standardized death rate,,2019,Libya,Eastern Mediterranean Region,Males,,29.47421,no data,no data,,
